Timestamp,Rank,Coin Name,Symbol,Price,24h Change,Market Cap
2026-09-06 16:51:57,1,Bitcoin,BTC,"$79,991.18",0.46%,$1.6T
2026-09-06 16:51:57,2,Ethereum,ETH,"$2,502.98",2.01%,$305.31B
2026-09-06 16:51:57,3,Tether,USDT,$1.00,0.01%,$183.4B
2026-09-06 16:51:57,4,BNB,BNB,$757.12,0.49%,$100.82B
2026-09-06 16:51:57,5,XRP,XRP,$1.42,1.06%,$89.14B
2026-09-06 16:51:57,6,USDC,USDC,$0.9999,0.01%,$74.54B
2026-09-06 16:51:57,7,Solana,SOL,$106.53,3.91%,$62.37B
2026-09-06 16:51:57,8,TRON,TRX,$0.3342,0.44%,$31.73B
2026-09-06 16:51:57,9,Hyperliquid,HYPE,$87.79,3.62%,$22.08B
2026-09-06 16:51:57,10,Zcash,ZEC,"$1,187.06",17.68%,$20B
2026-09-06 17:02:28,1,Bitcoin,BTC,"$79,904.51",0.35%,$1.6T
2026-09-06 17:02:28,2,Ethereum,ETH,"$2,500.82",1.93%,$305.43B
2026-09-06 17:02:28,3,Tether,USDT,$1.00,0.00%,$183.39B
2026-09-06 17:02:28,4,BNB,BNB,$757.25,0.74%,$100.83B
2026-09-06 17:02:28,5,XRP,XRP,$1.42,1.17%,$89.13B
2026-09-06 17:02:28,6,USDC,USDC,$0.9999,0.00%,$74.54B
2026-09-06 17:02:28,7,Solana,SOL,$106.56,4.11%,$62.38B
2026-09-06 17:02:28,8,TRON,TRX,$0.3348,0.61%,$31.79B
2026-09-06 17:02:28,9,Hyperliquid,HYPE,$88.31,4.16%,$22.21B
2026-09-06 17:02:28,10,Zcash,ZEC,"$1,184.14",17.42%,$19.96B
2026-09-08 17:24:10,1,Bitcoin,BTC,"$78,386.45",1.30%,$1.57T
2026-09-08 17:24:10,2,Ethereum,ETH,"$2,472.40",0.71%,$301.7B
2026-09-08 17:24:10,3,Tether,USDT,$0.9996,0.03%,$183.37B
2026-09-08 17:24:10,4,BNB,BNB,$752.21,1.06%,$100.16B
2026-09-08 17:24:10,5,XRP,XRP,$1.39,0.42%,$87.39B
2026-09-08 17:24:10,6,USDC,USDC,$0.9998,0.03%,$74.18B
2026-09-08 17:24:10,7,Solana,SOL,$102.78,1.98%,$60.24B
2026-09-08 17:24:10,8,TRON,TRX,$0.3385,0.63%,$32.13B
2026-09-08 17:24:10,9,Hyperliquid,HYPE,$83.37,5.05%,$21B
2026-09-08 17:24:10,10,Zcash,ZEC,"$1,163.45",2.72%,$19.61B
2026-09-08 17:33:05,1,Bitcoin,BTC,"$78,279.00",1.44%,$1.57T
2026-09-08 17:33:05,2,Ethereum,ETH,"$2,470.06",0.80%,$301.42B
2026-09-08 17:33:05,3,Tether,USDT,$0.9995,0.03%,$183.36B
2026-09-08 17:33:05,4,BNB,BNB,$752.14,0.99%,$100.15B
2026-09-08 17:33:05,5,XRP,XRP,$1.39,0.43%,$87.39B
2026-09-08 17:33:05,6,USDC,USDC,$0.9999,0.00%,$74.18B
2026-09-08 17:33:05,7,Solana,SOL,$102.75,2.08%,$60.23B
2026-09-08 17:33:05,8,TRON,TRX,$0.3384,0.59%,$32.13B
2026-09-08 17:33:05,9,Hyperliquid,HYPE,$83.12,5.18%,$20.94B
